letter	frequency
1	36
10	30
100	29
1000	3
1001	56
1002	26
1003	31
1004	57
1005	17
1006	20
1007	12
1008	21
1009	24
101	48
1010	41
1011	25
1012	29
1013	5
1014	21
1015	24
1016	22
1017	19
1018	13
1019	16
102	34
1020	24
1021	23
1022	21
1023	13
1024	25
1025	14
1026	26
1027	28
1028	14
1029	18
103	31
1030	16
1031	18
1032	16
1033	26
1034	21
1035	21
1036	13
1037	35
1038	22
1039	15
104	47
1040	14
1041	45
1042	16
1043	15
1044	17
1045	20
1046	25
1047	10
1048	30
1049	15
105	37
1050	29
1051	20
1052	17
1053	24
1054	13
1055	46
1056	22
1057	23
1058	17
1059	26
106	23
1060	26
1061	26
1062	17
1063	14
1064	12
1065	14
1066	25
1067	33
1068	19
1069	15
107	42
1070	15
1071	31
1072	31
1073	10
1074	14
1075	12
1076	12
1077	10
1078	12
1079	20
108	33
